zone_id,lat_grid,lon_grid,total_locations,avg_location_score,rescaled_score,restaurant_count,business_count,bus_stop_count,divvy_station_count,population_total_cell,zone_class_mode,geom,geojson,centroid
493,41.94,-87.67,90,45,72,63,16,7,4,5534108,B3-2,"POLYGON((-87.67 41.94, -87.66 41.94, -87.66 41.95, -87.67 41.95, -87.67 41.94))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.67, 41.94], [-87.66, 41.94], [-87.66, 41.95], [-87.67, 41.95], [-87.67, 41.94] ] ] } ",POINT(-87.664999999996 41.944999977807)
627,42.02,-87.68,57,33,54,30,18,6,3,2351076,B1-2,"POLYGON((-87.68 42.02, -87.67 42.02, -87.67 42.03, -87.68 42.03, -87.68 42.02))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.68, 42.02], [-87.67, 42.02], [-87.67, 42.03], [-87.68, 42.03], [-87.68, 42.02] ] ] } ",POINT(-87.6750000000318 42.0249999773923)
137,41.74,-87.54,5,27,44,0,3,2,0,247602,RT-4,"POLYGON((-87.54 41.74, -87.53 41.74, -87.53 41.75, -87.54 41.75, -87.54 41.74))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.54, 41.74], [-87.53, 41.74], [-87.53, 41.75], [-87.54, 41.75], [-87.54, 41.74] ] ] } ",POINT(-87.534999999991 41.7449999785983)
145,41.75,-87.67,45,26,42,15,18,10,2,2247168,B1-1,"POLYGON((-87.67 41.75, -87.66 41.75, -87.66 41.76, -87.67 41.76, -87.67 41.75))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.67, 41.75], [-87.66, 41.75], [-87.66, 41.76], [-87.67, 41.76], [-87.67, 41.75] ] ] } ",POINT(-87.6650000000112 41.7549999785381)
168,41.76,-87.64,39,28,46,12,12,13,2,1048494,B1-2,"POLYGON((-87.64 41.76, -87.63 41.76, -87.63 41.77, -87.64 41.77, -87.64 41.76))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.64, 41.76], [-87.63, 41.76], [-87.63, 41.77], [-87.64, 41.77], [-87.64, 41.76] ] ] } ",POINT(-87.634999999994 41.7649999784972)
200,41.78,-87.8,15,27,44,7,2,6,0,529173,PMD 12,"POLYGON((-87.8 41.78, -87.79 41.78, -87.79 41.79, -87.8 41.79, -87.8 41.78))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.8, 41.78], [-87.79, 41.78], [-87.79, 41.79], [-87.8, 41.79], [-87.8, 41.78] ] ] } ",POINT(-87.795000000001 41.7849999783997)
228,41.79,-87.76,7,25,40,1,2,4,0,176391,PD 610,"POLYGON((-87.76 41.79, -87.75 41.79, -87.75 41.8, -87.76 41.8, -87.76 41.79))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.76, 41.79], [-87.75, 41.79], [-87.75, 41.8], [-87.76, 41.8], [-87.76, 41.79] ] ] } ",POINT(-87.7549999999829 41.7949999783933)
252,41.8,-87.72,51,32,53,32,10,7,2,3823638,C2-1,"POLYGON((-87.72 41.8, -87.71 41.8, -87.71 41.81, -87.72 41.81, -87.72 41.8))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.72, 41.8], [-87.71, 41.8], [-87.71, 41.81], [-87.72, 41.81], [-87.72, 41.8] ] ] } ",POINT(-87.7149999999855 41.8049999783678)
265,41.8,-87.59,142,33,54,96,23,19,4,4951888,B1-3,"POLYGON((-87.59 41.8, -87.58 41.8, -87.58 41.81, -87.59 41.81, -87.59 41.8))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.59, 41.8], [-87.58, 41.8], [-87.58, 41.81], [-87.59, 41.81], [-87.59, 41.8] ] ] } ",POINT(-87.5849999999967 41.8049999783667)
317,41.84,-87.67,21,32,53,12,3,5,1,1170365,PD 307,"POLYGON((-87.67 41.84, -87.66 41.84, -87.66 41.85, -87.67 41.85, -87.67 41.84))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.67, 41.84], [-87.66, 41.84], [-87.66, 41.85], [-87.67, 41.85], [-87.67, 41.84] ] ] } ",POINT(-87.6649999999906 41.8449999781907)
380,41.88,-87.66,88,54,72,45,25,12,6,2071370,C1-3,"POLYGON((-87.66 41.88, -87.65 41.88, -87.65 41.89, -87.66 41.89, -87.66 41.88))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.66, 41.88], [-87.65, 41.88], [-87.65, 41.89], [-87.66, 41.89], [-87.66, 41.88] ] ] } ",POINT(-87.6549999999987 41.8849999780364)
462,41.93,-87.76,46,34,56,28,12,4,2,3620680,B3-1,"POLYGON((-87.76 41.93, -87.75 41.93, -87.75 41.94, -87.76 41.94, -87.76 41.93))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.76, 41.93], [-87.75, 41.93], [-87.75, 41.94], [-87.76, 41.94], [-87.76, 41.93] ] ] } ",POINT(-87.755000000008 41.934999977764)
